# Question words
quê?,what?
quem?,who?
quando?,when?
qual?,which?
quanto?,how much?
porquê?,why?
onde?,where?
como?,how?
# Posessive
meu,mine (s/m)
minha,mine (s/f)
meus,mine (p/m)
minhas,mine (p/f)
# 'Por' contractions
pelo,por+o
pela,por+a,
pelos,por+os
pelas,por+as
# 'De' contractions
do,de+o
da,de+a,
dos,de+os
das,de+as
# 'A' contractions
ao,a+o
à,a+a
aos,a+os,
às,a+as
# Numbers
um,1
dois,2
três,3
quatro,4
cinco,5
seis,6
sete,7
oito,8
nove,9
dez,10
onze,11
doze,12
treze,13
quatorze,14
quinze,15
dezesseis,16
dezessete,17
dezoito,18
dezenove,19
vinte,20
trinta,30
quarenta,40
cinquenta,50
sessenta,60
setenta,70
oitenta,80
noventa,90
cem,100
mil,1000
# Ordinal numbers
primeiro,1st
segundo,2nd
terceiro,3rd
quarto,4th
quinto,5th
sexto,6th
sétimo,7th
oitavo,8th
nono,9th
décimo,10th
vigésimo,20th
trigésimo,30th
quadragésimo,40th
quinquagésimo,50th
sexagésimo,60th
septuagésimo,70th
octogésimo,80th
nonagésimo,90th
centésimo,100th
com fome,hungry
com sede,thirsty
# Etc's of etc...
para assistir,to watch television
despachem-se,hurry up!
